file,displayedName,monitoredObjectSiteId,monitoredObjectSiteName,Date,variable,value,Q1,Q3,status,delta,c_days
rsl_hop,Port 4/1,10.70.60.17,MPR-SHK1639,2023-05-24 17:30:00,RSL_AverageLeveldBm,-53.0,-57.333333333333336,1.3706888336846832,1,-8.18,1
rsl_hop,Port 6/4,10.70.18.176,MPR-SVN3531-HUB-D,2023-05-24 17:30:00,RSL_AverageLeveldBm,-38.0,-35.7,0.4830458915396488,2,6.05,1
rsl_hop,Port 4/5,10.70.31.204,MPR-SVN3330-HC,2023-05-24 17:30:00,RSL_AverageLeveldBm,-40.0,-37.09090909090909,0.3015113445777632,2,7.27,1
rsl_hop,Port 4/1,10.70.60.12,MPR-SHK2299,2023-05-24 17:30:00,RSL_AverageLeveldBm,-51.0,-53.083333333333336,0.5149286505444378,1,-4.08,1
rsl_hop,Port 1/1,10.70.60.7,MPR-SHK2285,2023-05-24 17:30:00,RSL_AverageLeveldBm,-42.0,-37.333333333333336,1.4142135623730943,2,11.11,1
rsl_hop,Port 4/1,10.70.34.175,MPR-SHK2409-B,2023-05-24 17:30:00,RSL_AverageLeveldBm,-45.0,-41.77777777777778,0.4409585518440977,2,7.16,1
rsl_hop,Port 4/2,10.70.35.24,MPR-SHK2053,2023-05-24 17:30:00,RSL_AverageLeveldBm,-49.0,-45.1,0.31622776601683844,2,7.96,1
rsl_hop,Port 4/2,10.70.30.1,MPR-SVN1421-HUB-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-52.0,-47.30769230769231,0.4803844614152613,2,9.02,2
rsl_hop,Port 3/2,10.70.30.1,MPR-SVN1421-HUB-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-42.0,-37.69230769230769,0.48038446141526064,2,10.26,3
rsl_hop,Port 3/1,10.70.18.52,MPR-SVN1322,2023-05-24 17:30:00,RSL_AverageLeveldBm,-39.0,-36.77777777777778,0.440958551844098,2,5.7,1
rsl_hop,Port 4/1,10.70.31.70,MPR-GNJ0509-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-45.0,-49.44444444444444,0.8819171036881971,1,-9.88,1
rsl_hop,Port 6/2,10.70.31.66,MPR-GNJ0369,2023-05-24 17:30:00,RSL_AverageLeveldBm,-97.0,-34.77777777777778,0.4409585518440982,2,64.15,1
rsl_hop,Port 4/8,10.70.22.144,MPR-LNK4499-HUB-HC,2023-05-24 17:30:00,RSL_AverageLeveldBm,-56.0,-50.333333333333336,1.7320508075688736,2,10.12,1
rsl_hop,Channel 1A,10.70.28.87,MPR-GNJ0667-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-39.0,-35.55555555555556,0.5113099925649138,2,8.83,1
rsl_hop,Channel 1B,10.70.28.87,MPR-GNJ0667-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-39.0,-35.55555555555556,0.5113099925649139,2,8.83,1
rsl_hop,Channel 1B,10.70.28.87,MPR-GNJ0667-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-38.0,-35.55555555555556,0.5113099925649139,2,6.43,1
rsl_hop,Port 3/3,10.70.31.98,MPR-GNJ1383-HC,2023-05-24 17:30:00,RSL_AverageLeveldBm,-64.0,-87.77777777777777,0.44095855184409644,1,-37.15,1
rsl_hop,Port 3/4,10.70.31.98,MPR-GNJ1383-HC,2023-05-24 17:30:00,RSL_AverageLeveldBm,-48.0,-86.77777777777777,0.44095855184409694,1,-80.79,1
rsl_hop,Port 3/2,10.70.31.65,MPR-GNJ0517-MC-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-44.0,-41.333333333333336,0.4999999999999994,2,6.06,1
rsl_hop,Channel 1A,10.70.28.135,MPR-SVN1343-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-46.0,-38.166666666666664,0.5144957554275256,2,17.03,1
rsl_hop,Channel 1B,10.70.28.135,MPR-SVN1343-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-46.0,-38.166666666666664,0.6183469424008418,2,17.03,1
rsl_hop,Channel 1B,10.70.28.135,MPR-SVN1343-UBT-A,2023-05-24 17:30:00,RSL_AverageLeveldBm,-45.0,-38.166666666666664,0.6183469424008418,2,15.19,1
rsl_hop,Port 4/6,10.70.156.129,LNK4501_LNK4313_LSY,2023-05-24 17:30:00,RSL_AverageLeveldBm,-44.0,-41.77777777777778,0.6666666666666669,2,5.05,1
