Date,tech,Vendor,Site_name,NE,Region,variable,value,threshold,Fails_and_drops_average_15_day,Fails_and_drops_last_hour,Cell Availability,c_days,status
2023-05-30 08:00:00,2G,Nokia,GBBK2327,ASBSC21,Absheron,Call Drop Rate,3.225806451612903,2.6460978701995286,0.2,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK2443,ASBSC22,Baku,Call Drop Rate,2.5,0.7337918463578526,0.26666666666666666,3.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK2463,ASBSC22,Baku,Call Drop Rate,7.142857142857142,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK2601,ASBSC22,Baku,Call Drop Rate,12.5,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK2704,ASBSC22,Baku,Call Drop Rate,2.941176470588235,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3059,ASBSC22,Baku,Call Drop Rate,8.333333333333332,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3065,ASBSC21,Baku,Call Drop Rate,2.127659574468085,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3169,ASBSC22,Baku,Call Drop Rate,9.090909090909092,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3595,ASBSC22,Baku,Call Drop Rate,1.5625,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3667,ASBSC22,Baku,Call Drop Rate,6.666666666666667,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3835,ASBSC21,Baku,Call Drop Rate,4.545454545454546,2.771400441097827,0.2,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK3967,ASBSC22,Baku,Call Drop Rate,1.98019801980198,1.5178963853598584,0.4666666666666667,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK4029,ASBSC22,Baku,Call Drop Rate,2.985074626865672,2.879913129304394,0.3333333333333333,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK4245,ASBSC22,Baku,Call Drop Rate,2.0408163265306123,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK4293,ASBSC22,Baku,Call Drop Rate,16.666666666666664,14.077890531726096,0.3333333333333333,1.0,100.0,2.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK4921,ASBSC22,Baku,Call Drop Rate,5.88235294117647,3.4832803640901098,0.26666666666666666,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5049,ASBSC21,Absheron,Call Drop Rate,100.0,24.886078116059547,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5065,ASBSC22,Baku,Call Drop Rate,15.384615384615383,0.0,0.13333333333333333,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5245,ASBSC22,Baku,Call Drop Rate,1.7241379310344829,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5299,ASBSC22,Absheron,Call Drop Rate,1.694915254237288,0.9389379539417684,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5405,ASBSC22,Baku,Call Drop Rate,4.761904761904762,3.638384571524352,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5477,ASBSC22,Baku,Call Drop Rate,4.166666666666666,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5479,ASBSC22,Baku,Call Drop Rate,2.564102564102564,1.7464245943316892,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5491,ASBSC22,Baku,Call Drop Rate,2.2988505747126435,2.215587056829352,0.6,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5581,ASBSC21,Baku,Call Drop Rate,1.8604651162790695,1.3664417424999145,0.8666666666666667,4.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5761,ASBSC22,Baku,Call Drop Rate,8.695652173913043,0.0,0.13333333333333333,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GBBK5773,mcBSC16,Baku,Call Drop Rate,2.3255813953488373,1.889486234771728,0.2,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ1215,HBSC08,Ganja,Call Drop Rate,0.4464285714285714,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ1429,HBSC08,Ganja,Call Drop Rate,0.3436426116838488,0.3141051428654117,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ1507,HBSC06,Ganja,Call Drop Rate,0.8264462809917356,0.7527692216946936,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ1671,HBSC02,Ganja,Call Drop Rate,1.0050251256281406,0.8082128614903016,0.3333333333333333,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ1741,HBSC08,Ganja,Call Drop Rate,0.8213552361396305,0.5320900919633873,0.6,4.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ3307,HBSC01,Ganja,Call Drop Rate,0.6185567010309279,0.3910866382503511,0.4666666666666667,3.0,100.0,2.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ3329,HBSC01,Ganja,Call Drop Rate,0.3003003003003003,0.2662232613310501,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ5669,HBSC08,Ganja,Call Drop Rate,0.7594936708860759,0.612961762338363,0.6666666666666666,3.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GGNJ6095,HBSC02,Ganja,Call Drop Rate,0.6211180124223602,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK3036,HBSC07,Lankaran,Call Drop Rate,2.702702702702702,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK3159,HBSC07,Lankaran,Call Drop Rate,1.96078431372549,0.0,0.13333333333333333,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK3479,HBSC07,Aran,Call Drop Rate,5.263157894736842,4.402196783478432,0.26666666666666666,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4063,HBSC07,Lankaran,Call Drop Rate,1.162790697674419,0.9595739529294997,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4309,HBSC07,Lankaran,Call Drop Rate,3.3112582781456954,1.0644091114742344,0.4666666666666667,5.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4463,HBSC07,Lankaran,Call Drop Rate,2.409638554216868,1.4175335944905527,0.26666666666666666,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4575,HBSC07,Lankaran,Call Drop Rate,3.125,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4581,HBSC07,Lankaran,Call Drop Rate,2.3255813953488373,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GLNK4593,HBSC07,Lankaran,Call Drop Rate,7.017543859649122,3.4243619496699784,0.4,4.0,56.99074074074074,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GNCV4633,mcBSC12,Naxchivan,Call Drop Rate,1.4084507042253522,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2633,HBSC09,Quba,Call Drop Rate,1.2345679012345678,0.8627476424046616,0.26666666666666666,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2687,HBSC09,Quba,Call Drop Rate,0.6134969325153374,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2691,HBSC09,Quba,Call Drop Rate,2.1739130434782608,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2771,HBSC09,Quba,Call Drop Rate,0.7194244604316548,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2799,HBSC09,Quba,Call Drop Rate,1.7543859649122806,1.2655250683562966,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GQUB2851,HBSC09,Quba,Call Drop Rate,2.272727272727273,1.8982876025344448,0.13333333333333333,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSHK2165,HBSC05,Sheki,Call Drop Rate,0.5050505050505051,0.0,0.06666666666666667,1.0,100.0,2.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSHK2167,HBSC05,Sheki,Call Drop Rate,0.23094688221709,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSHK2413,HBSC05,Sheki,Call Drop Rate,0.381679389312977,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Nokia,GSVN0149,ASBSC21,Absheron,Call Drop Rate,25.0,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN1164,HBSC12,Aran,Call Drop Rate,0.8928571428571428,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN1290,HBSC10,Aran,Call Drop Rate,3.4482758620689653,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN1347,HBSC06,Aran,Call Drop Rate,8.333333333333332,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN1444,HBSC12,Aran,Call Drop Rate,1.36986301369863,0.9285042743383702,0.4666666666666667,3.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN2245,HBSC12,Aran,Call Drop Rate,1.5384615384615383,1.1572187572628656,0.2,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN2744,HBSC11,Aran,Call Drop Rate,5.714285714285714,2.079076898013916,0.2,2.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN2746,HBSC11,Aran,Call Drop Rate,5.263157894736842,0.0,0.06666666666666667,1.0,100.0,1.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN2748,HBSC11,Aran,Call Drop Rate,0.2631578947368421,0.0,0.06666666666666667,1.0,100.0,3.0,-1.0
2023-05-30 08:00:00,2G,Huawei,GSVN3360,HBSC12,Aran,Call Drop Rate,2.702702702702702,2.494892277616698,0.2,1.0,100.0,1.0,-1.0
