UserLabel,hwNetDevice,hwEventType,LocalDn,variable,value,up_threshold,down_threshold,status,Date,period,file,c_days
cbpadpt1b,None,1364019231605637347,NE=210200f,hwReceivedCCRNumber,807323.0,803308.0,803308.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1101,NE=210200f,hwReceivedCCRNumber,5360.0,9394.0,9394.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364015105356311831,NE=210200f,hwReceivedCCRNumber,118234.0,118989.0,118989.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,-1,NE=210200f,hwReceivedCCRNumber,43660.0,43085.0,43085.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1110,NE=210200f,hwReceivedCCRNumber,6810.0,6520.0,6520.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1111,NE=210200f,hwReceivedCCRNumber,169311.0,167672.0,167672.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364019339033858944,NE=210200f,hwReceivedCCRNumber,115716.0,116725.0,116725.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1108,NE=210200f,hwReceivedCCRNumber,170088.0,168579.0,168579.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1109,NE=210200f,hwReceivedCCRNumber,2243.0,5463.0,5463.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364884713210152010,NE=210200f,hwReceivedCCRNumber,2507.0,2388.0,2388.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1116,NE=210200f,hwReceivedCCRNumber,3098.0,2987.0,2987.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364019231605637347,NE=210200f,hwForwardedCCRNumber,807323.0,803308.0,803308.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1101,NE=210200f,hwForwardedCCRNumber,5360.0,9394.0,9394.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364015105356311831,NE=210200f,hwForwardedCCRNumber,118234.0,118989.0,118989.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1110,NE=210200f,hwForwardedCCRNumber,6810.0,6520.0,6520.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1111,NE=210200f,hwForwardedCCRNumber,169311.0,167672.0,167672.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1364019339033858944,NE=210200f,hwForwardedCCRNumber,115716.0,116725.0,116725.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1108,NE=210200f,hwForwardedCCRNumber,170088.0,168579.0,168579.0,1.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
cbpadpt1b,None,1109,NE=210200f,hwForwardedCCRNumber,2243.0,5463.0,5463.0,2.0,2023-05-24 16:45:00,15M,hwForwardDiamMsgStat,2.0
