,0
0,AZERCONN
1,GABS0003
2,GABS0008
3,GABS0027
4,GABS0037
5,GABS0040
6,GABS0047
7,GABS0075
8,GABS0129
9,GABS0139
10,GABS0147
11,GABS0150
12,GABS0156
13,GABS0157
14,GABS0165
15,GABS0243
16,GABS0254
17,GABS0289
18,GABS0311
19,GABS0313
20,GABS0325
21,GABS0341
22,GABS0393
23,GABS0427
24,GABS0439
25,GABS0465
26,GABS0505
27,GABS0601
28,GABS0628
29,GABS0637
30,GABS0660
31,GABS0703
32,GABS0767
33,GABS0777
34,GABS0885
35,GABS0901
36,GABS0912
37,GABS0961
38,GABS0983
39,GABS0987
40,GABS1099
41,GABS1203
42,GABS1253
43,GABS1255
44,GABS1266
45,GABS1279
46,GABS1285
47,GABS1287
48,GABS1296
49,GABS1326
50,GABS1405
51,GABS1428
52,GABS1631
53,GABS1785
54,GABS1787
55,GABS1789
56,GABS1791
57,GABS1793
58,GABS1799
59,GABS1815
60,GABS1827
61,GABS1829
62,GABS1891
63,GABS1893
64,GABS1895
65,GABS1897
66,GABS1899
67,GABS2089
68,GABS2090
69,GABS2099
70,GABS2127
71,GABS2133
72,GABS2135
73,GABS2137
74,GABS2139
75,GABS2145
76,GABS2192
77,GABS2225
78,GABS2229
79,GABS2235
80,GABS2369
81,GABS2612
82,GABS2635
83,GABS2653
84,GABS2757
85,GABS2795
86,GABS2857
87,GABS2861
88,GABS2863
89,GABS2887
90,GABS2997
91,GABS3015
92,GABS3019
93,GABS3023
94,GABS3025
95,GABS3031
96,GABS3039
97,GABS3043
98,GABS3044
99,GABS3045
100,GABS3047
101,GABS3049
102,GABS3237
103,GABS3239
104,GABS3243
105,GABS3424
106,GABS3493
107,GABS3522
108,GABS3577
109,GABS3581
110,GABS3585
111,GABS3587
112,GABS3589
113,GABS3591
114,GABS3593
115,GABS3602
116,GABS3702
117,GABS3709
118,GABS3717
119,GABS3718
120,GABS3719
121,GABS3721
122,GABS3723
123,GABS3768
124,GABS3833
125,GABS3893
126,GABS4007
127,GABS4033
128,GABS4039
129,GABS4041
130,GABS4043
131,GABS4049
132,GABS4057
133,GABS4058
134,GABS4067
135,GABS4130
136,GABS4133
137,GABS4155
138,GABS4165
139,GABS4265
140,GABS4337
141,GABS4351
142,GABS4391
143,GABS4393
144,GABS4395
145,GABS4397
146,GABS4417
147,GABS4435
148,GABS4453
149,GABS4455
150,GABS4465
151,GABS4467
152,GABS4469
153,GABS4495
154,GABS4503
155,GABS4515
156,GABS4533
157,GABS4541
158,GABS4622
159,GABS4632
160,GABS4634
161,GABS4636
162,GABS4638
163,GABS4648
164,GABS4670
165,GABS4672
166,GABS4674
